CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_frameID;Image_framestamp(epoch)
1617268144.698104877;-0.262001;0.488111;1.78272;0.705672;0.000151751;-0.00304586;0.708532;1617268144.698117446;-0.0380657;5.8999;1.6118;0.701773;0.00953178;0.0132286;-0.712214;1;1617268144.617392771
1617268144.797963482;-0.260964;0.487889;1.78197;0.70655;-0.000683156;-0.00488239;0.707646;1617268144.797983777;-0.0380231;5.89994;1.61189;0.70181;0.00960432;0.0131962;-0.712177;2;1617268144.719218555
1617268144.898030512;-0.260221;0.488099;1.78074;0.706845;-0.0031093;-0.0088817;0.707306;1617268144.898040189;-0.0380539;5.89988;1.6118;0.701826;0.00964302;0.0132984;-0.712159;3;1617268144.820980960
1617268144.998202189;-0.259996;0.488473;1.78051;0.706219;-0.000556408;-0.009011;0.707936;1617268144.998228286;-0.0380613;5.89991;1.61181;0.701784;0.00953093;0.0132225;-0.712203;4;1617268144.922589993
1617268145.128053114;-0.260261;0.48885;1.7808;0.706029;0.00265856;-0.00668795;0.708146;1617268145.128127730;-0.0380351;5.8999;1.6118;0.701766;0.00951778;0.0132188;-0.712221;5;1617268145.025603392
1617268145.228001464;-0.260478;0.488652;1.78085;0.705806;0.00281619;-0.00512576;0.708381;1617268145.228054128;-0.038091;5.90012;1.61185;0.701847;0.00942638;0.0130897;-0.712145;6;1617268145.130427865
1617268145.327947978;-0.260363;0.488538;1.78034;0.705714;-5.83117e-05;-0.00389087;0.708486;1617268145.327961907;-0.0380921;5.90012;1.61186;0.701854;0.00944071;0.0130947;-0.712138;7;1617268145.233158385
1617268145.428000020;-0.259832;0.48869;1.77968;0.705516;-0.00182335;-0.00401473;0.708681;1617268145.428027690;-0.0380723;5.90013;1.61185;0.701847;0.00942265;0.0130837;-0.712145;8;1617268145.335400045
1617268145.528019064;-0.259077;0.489166;1.77936;0.706603;-0.00239971;-0.00766767;0.707565;1617268145.528040964;-0.0380541;5.90016;1.61192;0.701851;0.00946963;0.0130502;-0.712141;9;1617268145.437318302
1617268145.628140401;-0.259161;0.490013;1.77844;0.706246;-0.00346952;-0.00884485;0.707903;1617268145.628171590;-0.0380736;5.89982;1.61174;0.701795;0.00959452;0.0133123;-0.71219;10;1617268145.540991436
1617268145.728036904;-0.259755;0.490952;1.77849;0.706225;-0.00100109;-0.00944414;0.707924;1617268145.728066112;-0.0380768;5.89987;1.6118;0.701778;0.00954032;0.013236;-0.712209;11;1617268145.645069718
1617268145.827982839;-0.260856;0.491503;1.77912;0.706214;0.00183653;-0.00823546;0.707949;1617268145.828097959;-0.0380622;5.89988;1.6118;0.701771;0.0095348;0.0132284;-0.712216;12;1617268145.749172973
1617268145.927955817;-0.261862;0.491799;1.77973;0.705448;0.00412462;-0.00387852;0.708739;1617268145.927972120;-0.0380592;5.89989;1.61179;0.701752;0.00951327;0.0132249;-0.712235;13;1617268145.852595656
1617268146.028028439;-0.262395;0.491905;1.78006;0.705568;0.00225373;-0.00332162;0.708631;1617268146.028047682;-0.0381031;5.90009;1.61184;0.701842;0.00942803;0.0130987;-0.71215;14;1617268145.955289654
1617268146.127964634;-0.262279;0.492125;1.77957;0.705803;-0.00140751;-0.00323069;0.708399;1617268146.127985178;-0.0380418;5.89981;1.61177;0.701795;0.00961789;0.013299;-0.71219;15;1617268146.056907005
1617268146.228037064;-0.261966;0.492482;1.77896;0.706004;-0.00111191;-0.00454413;0.708192;1617268146.228059294;-0.0381004;5.9001;1.61185;0.701853;0.00944881;0.0130978;-0.712138;16;1617268146.159002011
1617268146.327996430;-0.261827;0.49319;1.77824;0.706092;-0.00204574;-0.00672653;0.708085;1617268146.328017616;-0.0381144;5.90009;1.61185;0.701856;0.00944763;0.0130974;-0.712136;17;1617268146.261000665
1617268146.428018807;-0.262142;0.494165;1.77726;0.706131;-0.00286497;-0.00764528;0.708034;1617268146.428043054;-0.0381114;5.90009;1.61185;0.701852;0.00942908;0.0130944;-0.71214;18;1617268146.365704531
1617268146.527968444;-0.262886;0.495243;1.7768;0.70609;-0.00129648;-0.00768655;0.708079;1617268146.527978986;-0.0381075;5.90008;1.61186;0.701852;0.00945203;0.0131024;-0.71214;19;1617268146.471155112
