CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_frameID;Image_framestamp(epoch)
1617622385.908887164;-0.1227;0.183996;1.73922;0.702418;0.00299532;-0.00437344;0.711745;1617622385.908945142;-0.162804;5.77093;1.61496;0.710191;0.00984576;0.0137068;-0.703806;1;1617622385.691412189
1617622386.008748959;-0.122872;0.184075;1.73767;0.702559;-0.00168554;-0.00512034;0.711605;1617622386.008781979;-0.162819;5.77094;1.61497;0.710198;0.00984572;0.013705;-0.703799;2;1617622385.815906625
1617622386.108752251;-0.123097;0.184171;1.7377;0.702238;-0.000687419;-0.00616832;0.711916;1617622386.108796827;-0.162799;5.77096;1.61497;0.710193;0.00982982;0.0136972;-0.703805;3;1617622385.941304616
1617622386.198837545;-0.123158;0.184349;1.73836;0.702221;0.00278363;-0.00462822;0.711939;1617622386.198903836;-0.162792;5.77099;1.61496;0.710185;0.00981916;0.013691;-0.703813;4;1617622386.066266531
1617622386.408755407;-0.123326;0.184765;1.73703;0.702406;0.000237995;-0.00589435;0.711752;1617622386.408786452;-0.162813;5.77096;1.61497;0.7102;0.00984944;0.013708;-0.703798;5;1617622386.192308737
1617622386.509234914;-0.123337;0.184984;1.73765;0.701821;0.00333778;-0.00344781;0.712337;1617622386.509285346;-0.162802;5.77097;1.61496;0.710199;0.00983196;0.0136954;-0.703799;6;1617622386.317315131
1617622386.608743146;-0.123222;0.185439;1.73729;0.702269;-0.000292194;-0.00477936;0.711896;1617622386.608768075;-0.162778;5.77098;1.61495;0.710185;0.00980532;0.013682;-0.703814;7;1617622386.441345634
1617622386.708930633;-0.122905;0.18578;1.73695;0.702728;-0.00105992;-0.00700872;0.711424;1617622386.708996375;-0.162764;5.77099;1.61494;0.710168;0.00979594;0.0136883;-0.703831;8;1617622386.567331257
1617622386.908759191;-0.122814;0.186543;1.73659;0.702518;0.000739156;-0.00548982;0.711645;1617622386.908797275;-0.162805;5.77098;1.61497;0.710197;0.00982848;0.0136894;-0.703802;9;1617622386.690840826
1617622387.008814337;-0.122653;0.186981;1.73589;0.703362;-0.000576704;-0.00664987;0.710801;1617622387.008857378;-0.16281;5.77098;1.61497;0.710203;0.00983768;0.0136998;-0.703795;10;1617622386.816071872
1617622387.078952051;-0.123281;0.187098;1.73565;0.701807;-4.37842e-05;-0.00694176;0.712333;1617622387.079014225;-0.162814;5.77097;1.61498;0.710201;0.00984305;0.0137049;-0.703797;11;1617622386.941356024
1617622387.208875052;-0.123772;0.186941;1.73685;0.702174;0.00253806;-0.00641659;0.711972;1617622387.208908569;-0.162802;5.77097;1.61496;0.710194;0.009825;0.0136927;-0.703804;12;1617622387.066061691
1617622387.408762528;-0.12422;0.186717;1.7365;0.702697;0.000329201;-0.00392171;0.711478;1617622387.408797170;-0.162786;5.77095;1.61494;0.710193;0.00983632;0.013705;-0.703805;13;1617622387.191089004
1617622387.508839161;-0.124316;0.186849;1.73643;0.702478;-0.00080526;-0.00596233;0.71168;1617622387.508935642;-0.162787;5.77096;1.61495;0.710193;0.00982649;0.0136954;-0.703805;14;1617622387.317516871
1617622387.598828095;-0.124805;0.186919;1.73732;0.701377;0.00134996;-0.00641526;0.71276;1617622387.598945639;-0.162788;5.77097;1.61496;0.710195;0.00982527;0.0136947;-0.703803;15;1617622387.441459574
1617622387.708951472;-0.124624;0.18696;1.73756;0.701803;0.00194437;-0.00407014;0.712356;1617622387.709088216;-0.162778;5.771;1.61496;0.710191;0.00980492;0.013682;-0.703808;16;1617622387.566238216
1617622387.909131021;-0.124987;0.18702;1.73775;0.701546;0.00214462;-0.005753;0.712598;1617622387.909171623;-0.162799;5.77098;1.61496;0.710198;0.00983146;0.0136987;-0.7038;17;1617622387.691226960
1617622388.008812070;-0.125034;0.187135;1.7384;0.7018;0.00213345;-0.00498459;0.712354;1617622388.008939112;-0.162799;5.77093;1.61496;0.710191;0.00984121;0.013708;-0.703807;18;1617622387.816089362
1617622388.078905856;-0.124914;0.18704;1.73825;0.702399;0.00166109;-0.00387419;0.711771;1617622388.078964760;-0.162781;5.77095;1.61494;0.710179;0.00981334;0.0136964;-0.703819;19;1617622387.913531059
1617622388.208788379;-0.125107;0.187117;1.73791;0.701705;-7.23313e-05;-0.0058269;0.712444;1617622388.208818713;-0.162764;5.77098;1.61496;0.710185;0.00978458;0.0136659;-0.703814;20;1617622388.066272867
1617622388.378743525;-0.124734;0.187391;1.73849;0.702134;0.000300385;-0.00370976;0.712035;1617622388.378798794;-0.16283;5.77099;1.61498;0.71021;0.0098576;0.0137129;-0.703788;21;1617622388.190638382
1617622388.508828670;-0.12472;0.18771;1.73898;0.702001;-0.000133528;-0.00736711;0.712138;1617622388.508860484;-0.162794;5.77098;1.61496;0.710192;0.00982197;0.0136929;-0.703806;22;1617622388.315409074
1617622388.608878719;-0.124813;0.187841;1.73982;0.701685;0.00312931;-0.00523563;0.712461;1617622388.609017566;-0.162753;5.77097;1.61495;0.710179;0.0097937;0.0136775;-0.70382;23;1617622388.440443945
1617622388.708777650;-0.124803;0.188104;1.73932;0.702086;-0.000375493;-0.00525186;0.712072;1617622388.708790094;-0.162748;5.77097;1.61494;0.710178;0.00978625;0.0136772;-0.703821;24;1617622388.565405865
1617622388.908705508;-0.124859;0.188436;1.7404;0.700856;0.00326185;-0.00418365;0.713283;1617622388.908716579;-0.1628;5.77098;1.61496;0.710202;0.00982633;0.0136932;-0.703796;25;1617622388.691074450
1617622389.008796662;-0.124421;0.188605;1.74;0.701936;-0.00184575;-0.00600052;0.712212;1617622389.008851999;-0.162795;5.77098;1.61497;0.710207;0.00982761;0.0136938;-0.703791;26;1617622388.815967784
1617622389.088924734;-0.124015;0.188705;1.74005;0.702823;-0.00139284;-0.00820305;0.711316;1617622389.088931487;-0.162782;5.77101;1.61497;0.710207;0.00981398;0.0136778;-0.703791;27;1617622388.940840686
1617622389.208771833;-0.124582;0.189161;1.74011;0.701372;0.00127971;-0.00683107;0.712762;1617622389.208785525;-0.162768;5.77099;1.61496;0.710195;0.00980163;0.0136761;-0.703804;28;1617622389.065606647
1617622389.408739993;-0.124998;0.189531;1.73915;0.702032;-0.00131361;-0.00541613;0.712123;1617622389.408751505;-0.162797;5.77097;1.61496;0.710203;0.00982615;0.013689;-0.703796;29;1617622389.190310592
1617622389.508764238;-0.125279;0.1895;1.73913;0.702286;0.000334934;-0.00688771;0.711861;1617622389.508831841;-0.162776;5.77099;1.61496;0.710203;0.00980334;0.013675;-0.703796;30;1617622389.315110215
1617622389.608778807;-0.125593;0.189664;1.73968;0.702407;0.00393672;-0.00606051;0.711739;1617622389.608885939;-0.162766;5.77101;1.61496;0.710199;0.0097911;0.013669;-0.703801;31;1617622389.440354845
1617622389.708880219;-0.12615;0.189715;1.73894;0.702018;0.000356604;-0.00648319;0.71213;1617622389.708919515;-0.162768;5.771;1.61496;0.710204;0.0097976;0.0136739;-0.703795;32;1617622389.565416053
1617622389.908735144;-0.12631;0.189738;1.73875;0.702252;0.000626988;-0.00511302;0.71191;1617622389.908791410;-0.162798;5.77099;1.61497;0.710215;0.00983196;0.0136964;-0.703783;33;1617622389.690923955
1617622389.998992436;-0.126527;0.189939;1.73822;0.702127;-0.00114125;-0.00636833;0.712022;1617622389.999025515;-0.162781;5.77101;1.61497;0.710209;0.00981863;0.0136875;-0.703789;34;1617622389.815601038
1617622390.108758833;-0.127001;0.190173;1.73857;0.701246;0.000871923;-0.00701985;0.712884;1617622390.108808864;-0.162745;5.77099;1.61495;0.710191;0.00978132;0.0136708;-0.703809;35;1617622389.940702469
1617622390.208836742;-0.127323;0.19031;1.73962;0.701385;0.00280594;-0.00603869;0.712752;1617622390.208881699;-0.162744;5.77097;1.61495;0.710183;0.0097811;0.0136695;-0.703817;36;1617622390.065452755
1617622390.408827601;-0.127702;0.190288;1.73919;0.701285;0.00037164;-0.00540502;0.71286;1617622390.408841969;-0.162811;5.771;1.61499;0.710236;0.00984641;0.0136948;-0.703762;37;1617622390.196056440
1617622390.508842452;-0.12762;0.190358;1.74;0.701916;0.000962964;-0.00562385;0.712236;1617622390.508892517;-0.162823;5.77103;1.61499;0.710239;0.00984568;0.0136927;-0.703759;38;1617622390.315776365
1617622390.608762130;-0.127791;0.190511;1.74004;0.702013;-0.000787571;-0.00527084;0.712144;1617622390.608801594;-0.162786;5.771;1.61498;0.710212;0.00981248;0.0136849;-0.703787;39;1617622390.444099161
1617622390.708801619;-0.128012;0.19039;1.7411;0.701663;0.00117303;-0.00763569;0.712467;1617622390.708915035;-0.162749;5.77099;1.61496;0.710202;0.00979914;0.0136704;-0.703797;40;1617622390.565788133
1617622390.908775822;-0.128181;0.190314;1.74195;0.70165;0.000121167;-0.00507365;0.712504;1617622390.908834622;-0.162777;5.77098;1.61496;0.710211;0.00982711;0.0136912;-0.703787;41;1617622390.700261512
1617622391.009016913;-0.12782;0.190346;1.74153;0.702401;-0.00208423;-0.00634604;0.71175;1617622391.009070111;-0.162793;5.77106;1.61498;0.710225;0.00982898;0.0136833;-0.703773;42;1617622390.816168165
1617622391.108804961;-0.128282;0.19043;1.74239;0.701488;0.000166742;-0.00766747;0.71264;1617622391.108867369;-0.162779;5.77107;1.61498;0.710229;0.00980515;0.0136693;-0.70377;43;1617622390.944043214
1617622391.208920171;-0.128419;0.190506;1.7436;0.701198;0.00395289;-0.00470286;0.71294;1617622391.208933685;-0.162789;5.77105;1.61498;0.710225;0.00981158;0.0136717;-0.703774;44;1617622391.065815139
1617622391.408739587;-0.128061;0.190731;1.74292;0.701835;-0.000475947;-0.00417417;0.712327;1617622391.408767428;-0.162778;5.77103;1.61497;0.71021;0.00980296;0.0136704;-0.703789;45;1617622391.198524128
1617622391.498792804;-0.128096;0.190921;1.74306;0.701844;-0.000707033;-0.00830295;0.712282;1617622391.498821887;-0.16277;5.77103;1.61497;0.710212;0.00979296;0.0136618;-0.703787;46;1617622391.315786970
1617622391.608741441;-0.128427;0.191225;1.74408;0.701398;0.00334823;-0.00743073;0.712724;1617622391.608799215;-0.162774;5.77104;1.61497;0.710219;0.00980061;0.0136709;-0.70378;47;1617622391.447446726
1617622391.708849508;-0.128735;0.191331;1.74341;0.701073;0.000922988;-0.00427407;0.713076;1617622391.708877483;-0.162785;5.77108;1.61498;0.710228;0.00981666;0.0136759;-0.703771;48;1617622391.566193522
1617622391.908836800;-0.128992;0.190976;1.74247;0.70188;-0.000642353;-0.0068212;0.712262;1617622391.908850811;-0.162786;5.77107;1.61498;0.710234;0.0098099;0.0136708;-0.703765;49;1617622391.697393151
1617622392.008835002;-0.129466;0.190741;1.74323;0.701778;0.00129751;-0.00766255;0.712354;1617622392.008892652;-0.162781;5.77107;1.61498;0.710227;0.00980468;0.0136682;-0.703772;50;1617622391.816366034
1617622392.108751246;-0.130106;0.190377;1.7437;0.70103;0.00324874;-0.00512247;0.713106;1617622392.108772263;-0.16279;5.77107;1.61498;0.710231;0.00980779;0.0136627;-0.703768;51;1617622391.944969347
1617622392.198962800;-0.130188;0.189817;1.74429;0.701305;0.00392796;-0.00419688;0.712838;1617622392.198992503;-0.16279;5.77104;1.61498;0.710225;0.00981074;0.0136735;-0.703773;52;1617622392.068119939
1617622392.398787253;-0.129473;0.188909;1.74226;0.702511;-0.00102089;-0.00708222;0.711637;1617622392.398813063;-0.16279;5.77106;1.61497;0.710226;0.00981308;0.0136724;-0.703773;53;1617622392.203562649
1617622392.508721188;-0.12975;0.188821;1.74182;0.701955;-0.000440452;-0.00792524;0.712177;1617622392.508741842;-0.162761;5.77111;1.61498;0.710237;0.00979245;0.0136576;-0.703762;54;1617622392.315920243
1617622392.608741190;-0.130134;0.188529;1.74268;0.702094;0.00348962;-0.00740864;0.712037;1617622392.608799034;-0.162778;5.77111;1.61498;0.710246;0.0097975;0.0136688;-0.703753;55;1617622392.446822908
