CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_frameID;Image_framestamp(epoch)
1617638099.438779373;-0.0864841;0.320316;1.79973;0.70644;0.0026637;-0.00368762;0.707758;1617638099.438871870;-0.162748;5.77081;1.61488;0.710251;0.00972367;0.0136177;-0.70375;1;1617638099.302699157
1617638099.638712882;-0.0856624;0.319894;1.79847;0.707045;-0.00416344;-0.00530752;0.707136;1617638099.638802218;-0.162773;5.77087;1.61491;0.710269;0.00973255;0.013613;-0.703731;2;1617638099.427827087
1617638099.728740033;-0.0855141;0.319959;1.79863;0.706943;-0.00242879;-0.00817375;0.70722;1617638099.728777913;-0.16278;5.77085;1.61491;0.710263;0.009744;0.0136246;-0.703737;3;1617638099.552220441
1617638099.838734470;-0.08564;0.320026;1.79902;0.706463;0.000555144;-0.00734313;0.707712;1617638099.838829444;-0.162775;5.77084;1.6149;0.71026;0.00974963;0.0136284;-0.70374;4;1617638099.677773009
1617638099.938816232;-0.085795;0.31995;1.79861;0.706039;0.00137383;-0.00349672;0.708163;1617638099.938845802;-0.162765;5.77082;1.61489;0.710251;0.00974705;0.0136349;-0.703749;5;1617638099.802621411
1617638100.138711868;-0.0850365;0.320091;1.79612;0.706894;-0.0022447;-0.00532361;0.707296;1617638100.138801145;-0.162763;5.77085;1.61489;0.710252;0.00973133;0.0136224;-0.703748;6;1617638099.927904411
1617638100.238724508;-0.0846444;0.320545;1.79493;0.707279;-0.00333219;-0.00805758;0.70688;1617638100.238768444;-0.162781;5.77087;1.61491;0.710273;0.00974454;0.0136195;-0.703727;7;1617638100.052517401
1617638100.338835934;-0.0850722;0.32098;1.79489;0.706706;-0.000362504;-0.00785856;0.707464;1617638100.338854692;-0.162791;5.77087;1.61491;0.710277;0.00974486;0.0136185;-0.703723;8;1617638100.177759398
1617638100.438705832;-0.0856851;0.321215;1.79545;0.706523;0.00144683;-0.00670345;0.707657;1617638100.438742125;-0.162786;5.77085;1.6149;0.710263;0.00973736;0.0136153;-0.703738;9;1617638100.302973240
1617638100.638707305;-0.0856573;0.32128;1.79431;0.706662;0.000323397;-0.00244693;0.707547;1617638100.638807739;-0.162759;5.77084;1.61489;0.710253;0.00973046;0.0136157;-0.703748;10;1617638100.428436104
1617638100.738700091;-0.0851309;0.321765;1.79313;0.707252;-0.00292082;-0.0064533;0.706926;1617638100.738735136;-0.162747;5.77083;1.61488;0.710247;0.00973445;0.0136168;-0.703754;11;1617638100.552877178
1617638100.838765003;-0.0848526;0.322422;1.79257;0.706925;-0.0021675;-0.00853124;0.707233;1617638100.838805969;-0.16276;5.77084;1.61489;0.71026;0.00974451;0.0136239;-0.70374;12;1617638100.677814356
1617638100.938781342;-0.0851216;0.322959;1.79283;0.706863;-0.000252475;-0.00862155;0.707297;1617638100.938812898;-0.162771;5.77087;1.61491;0.710272;0.00974272;0.0136202;-0.703728;13;1617638100.803530343
