CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch);Image_frameID
1620287212.9699029922;-0.0496068680;-1.0758352026;1.7507096157;0.7182337871;-0.0135740815;0.0069347855;0.6956348755;1620287212.9619569778;-0.1153079187;7.1004056211;1.4878046442;0.7301980659;-0.0073951847;-0.0005255734;0.6831953011;1;1620287213.303120510;1
1620287212.9784939289;-0.0496270924;-1.0757940314;1.7507198214;0.7181840012;-0.0137530783;0.0071260876;0.6956808263;1620287212.9699139595;-0.1153077111;7.1004038521;1.4877987893;0.7301993745;-0.0073984449;-0.0005241192;0.6831938684;1;1620287213.303120510;1
1620287212.9865570068;-0.0495588487;-1.0757675809;1.7507164170;0.7182158887;-0.0140828036;0.0071541246;0.6956410212;1620287212.9785060883;-0.1153285067;7.1003973565;1.4878053449;0.7301936878;-0.0073921587;-0.0005246749;0.6832000139;1;1620287213.303120510;1
1620287212.9950830936;-0.0495732661;-1.0757534851;1.7506968081;0.7181546220;-0.0143442117;0.0072634506;0.6956977970;1620287212.9865679741;-0.1153303516;7.1003983799;1.4878079559;0.7301936954;-0.0073918414;-0.0005234432;0.6832000101;1;1620287213.303120510;1
1620287213.0118629932;-0.0495175834;-1.0756555249;1.7508586879;0.7181662469;-0.0141856163;0.0070064142;0.6956916848;1620287212.9950950146;-0.1153103953;7.1004049747;1.4878041394;0.7302002314;-0.0073954822;-0.0005222919;0.6831929860;2;1620287213.355063206;2
1620287213.0198071003;-0.0494967785;-1.0755989698;1.7509494020;0.7181449676;-0.0140322692;0.0068346655;0.6957184691;1620287213.0118880272;-0.1153097781;7.1003974502;1.4878015771;0.7301973441;-0.0073942442;-0.0005247070;0.6831960835;2;1620287213.355063206;2
1620287213.0284020901;-0.0494692847;-1.0755630905;1.7510465401;0.7181782193;-0.0137918270;0.0067333747;0.6956899399;1620287213.0198318958;-0.1153280997;7.1003894539;1.4878079448;0.7301892596;-0.0073941832;-0.0005230258;0.6832047261;2;1620287213.355063206;2
1620287213.0363950729;-0.0494401659;-1.0755548099;1.7510522391;0.7181860840;-0.0137476322;0.0067313983;0.6956827148;1620287213.0284140110;-0.1153054456;7.1003997867;1.4878038152;0.7301977119;-0.0073969268;-0.0005210596;0.6831956642;3;1620287213.381034518;3
1620287213.0451030731;-0.0493923915;-1.0755379689;1.7510777830;0.7182201673;-0.0136132107;0.0067320917;0.6956501641;1620287213.0364050865;-0.1153124041;7.1003941328;1.4878050843;0.7301938701;-0.0073956369;-0.0005221104;0.6831997834;3;1620287213.381034518;3
1620287213.0617089272;-0.0492652628;-1.0754928988;1.7511973135;0.7183484771;-0.0130293010;0.0064990014;0.6955310674;1620287213.0451300144;-0.1153129422;7.1003960575;1.4878050420;0.7301941708;-0.0073946890;-0.0005225896;0.6831994719;3;1620287213.381034518;3
