CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch)
1620302790.8983449936;-0.2484680951;-1.6478556952;1.7784232928;0.7158900793;-0.0137878497;0.0092164206;0.6980160078;1620302790.8917410374;-0.0740866478;5.5733666129;2.2552499675;0.7083138207;-0.0139852353;0.0009502827;-0.7057584867;1;1620302790.847551622
1620302790.9081239700;-0.2484659895;-1.6479559333;1.7784154605;0.7159058416;-0.0143899007;0.0092204441;0.6979876361;1620302790.8983790874;-0.0741659767;5.5734679702;2.2558654584;0.7082475943;-0.0137979892;0.0009724832;-0.7058286017;1;1620302790.847551622
1620302790.9242498875;-0.2483756502;-1.6481532020;1.7784682301;0.7160678232;-0.0153010606;0.0090795620;0.6978039206;1620302790.9081389904;-0.0742793742;5.5735522225;2.2564475281;0.7082545921;-0.0138017656;0.0008721670;-0.7058216371;1;1620302790.847551622
1620302790.9342670441;-0.2485024137;-1.6482251864;1.7785162100;0.7158423058;-0.0154523253;0.0090811002;0.6980319137;1620302790.9242660999;-0.0744370777;5.5737420676;2.2576331655;0.7081706485;-0.0139956160;0.0010284440;-0.7059018329;2;1620302790.899494406
1620302790.9403650761;-0.2484208490;-1.6483656962;1.7785150717;0.7159624432;-0.0158048321;0.0090975141;0.6979005821;1620302790.9342899323;-0.0745657436;5.5738051848;2.2582074879;0.7082180162;-0.0139864409;0.0009586426;-0.7058545898;2;1620302790.899494406
1620302790.9488880634;-0.2484722944;-1.6484041487;1.7787325954;0.7158761238;-0.0154892782;0.0088311451;0.6979996193;1620302790.9403800964;-0.0746656933;5.5738633729;2.2587956227;0.7081673309;-0.0139083321;0.0009097475;-0.7059070492;2;1620302790.899494406
1620302790.9576239586;-0.2484831101;-1.6485511362;1.7788048492;0.7158639282;-0.0155099628;0.0088061943;0.6980119829;1620302790.9489040375;-0.0747516014;5.5739194243;2.2593828592;0.7080010178;-0.0139995849;0.0011205735;-0.7060717490;2;1620302790.899494406
1620302790.9738299847;-0.2481830213;-1.6488864105;1.7788582781;0.7162374083;-0.0160185508;0.0087221473;0.6976183091;1620302790.9576389790;-0.0748958921;5.5739719076;2.2599545972;0.7080934240;-0.0140590239;0.0010641657;-0.7059779843;3;1620302790.925465630
1620302790.9818520546;-0.2482908221;-1.6489198009;1.7791235331;0.7160540192;-0.0154779585;0.0085134773;0.6978213203;1620302790.9738459587;-0.0750751919;5.5741041803;2.2610987290;0.7080969313;-0.0141326693;0.0012485625;-0.7059726940;3;1620302790.925465630
1620302790.9906868935;-0.2481892574;-1.6490295104;1.7792463009;0.7162181518;-0.0154547373;0.0084060913;0.6976546766;1620302790.9818670750;-0.0751532834;5.5741265577;2.2616828977;0.7079942942;-0.0141319795;0.0014339285;-0.7060752866;3;1620302790.925465630
1620302790.9983310699;-0.2482206753;-1.6491286798;1.7794026610;0.7161541240;-0.0153214053;0.0082980518;0.6977246359;1620302790.9906969070;-0.0752783688;5.5741454059;2.2622500450;0.7081388578;-0.0139590444;0.0012130433;-0.7059341553;4;1620302790.951437038
1620302791.0079720020;-0.2481798579;-1.6492362170;1.7795467448;0.7162063213;-0.0153648405;0.0081114708;0.6976722948;1620302790.9983460903;-0.0753742341;5.5742247743;2.2628577837;0.7080576217;-0.0136659723;0.0012812039;-0.7060212490;4;1620302790.951437038
1620302791.0248410702;-0.2480503748;-1.6494892892;1.7796914462;0.7164843424;-0.0156196512;0.0080444600;0.6973818898;1620302791.0079998970;-0.0754842673;5.5742380044;2.2633985154;0.7080127284;-0.0138161542;0.0015421593;-0.7060628244;4;1620302790.951437038
1620302791.0334680080;-0.2480953250;-1.6495412506;1.7798993102;0.7163777120;-0.0155379606;0.0075965197;0.6974982713;1620302791.0248689651;-0.0756502399;5.5742503084;2.2645543900;0.7083285951;-0.0138933286;0.0018608661;-0.7057436602;4;1620302790.951437038
1620302791.0407478809;-0.2480829904;-1.6496361346;1.7799998020;0.7164404125;-0.0156196952;0.0076549499;0.6974314033;1620302791.0334959030;-0.0758101832;5.5742770003;2.2651068662;0.7082007599;-0.0136698040;0.0017002360;-0.7058767097;5;1620302791.003379734
